,tconst,title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,year,id,release_date,production_budget,domestic_gross,worldwide_gross
0,tt1775309,Avatar,Abatâ,2011.0,93.0,Horror,6.1,43.0,,,1,"Dec 18, 2009","$425,000,000",760507625,2776345279
1,tt1298650,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011.0,136.0,"Action,Adventure,Fantasy",6.6,447624.0,Disney,2011.0,2,"May 20, 2011","$410,600,000",241063875,1045663875
2,tt6565702,Dark Phoenix,Dark Phoenix,2019.0,113.0,"Action,Adventure,Sci-Fi",6.0,24451.0,,,3,"Jun 7, 2019","$350,000,000",42762350,149762350
3,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,2015.0,141.0,"Action,Adventure,Sci-Fi",7.3,665594.0,Disney,2015.0,4,"May 1, 2015","$330,600,000",459005868,1403013963
4,,Star Wars Ep. VIII: The Last Jedi,,,,,,,,,5,"Dec 15, 2017","$317,000,000",620181382,1316721747
5,,Star Wars Ep. VII: The Force Awakens,,,,,,,,,6,"Dec 18, 2015","$306,000,000",936662225,2053311220
6,tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018.0,149.0,"Action,Adventure,Sci-Fi",8.5,670926.0,Disney,2018.0,7,"Apr 27, 2018","$300,000,000",678815482,2048134200
7,,Pirates of the Caribbean: At Worldâs End,,,,,,,,,8,"May 24, 2007","$300,000,000",309420425,963420425
8,tt0974015,Justice League,Justice League,2017.0,120.0,"Action,Adventure,Fantasy",6.5,329135.0,Warner Bros,2017.0,9,"Nov 17, 2017","$300,000,000",229024295,655945209
9,tt2379713,Spectre,Spectre,2015.0,148.0,"Action,Adventure,Thriller",6.8,352504.0,Sony,2015.0,10,"Nov 6, 2015","$300,000,000",200074175,879620923
10,tt1345836,The Dark Knight Rises,The Dark Knight Rises,2012.0,164.0,"Action,Thriller",8.4,1387769.0,Warner Bros,2012.0,11,"Jul 20, 2012","$275,000,000",448139099,1084439099
11,tt3778644,Solo: A Star Wars Story,Solo: A Star Wars Story,2018.0,135.0,"Action,Adventure,Fantasy",7.0,226243.0,Disney,2018.0,12,"May 25, 2018","$275,000,000",213767512,393151347
12,tt1210819,The Lone Ranger,The Lone Ranger,2013.0,150.0,"Action,Adventure,Western",6.4,208827.0,Disney,2013.0,13,"Jul 2, 2013","$275,000,000",89302115,260002115
